sample_ID;clone;days_in_culture;E3_genotype;replicate
S1;R2;D0;sgAAVS1;A
S2;R2;D0;sgAAVS1;B
S3;R2;D0;sgAAVS1;C
S4;R2+219;D0;sgAAVS1;A
S5;R2+219;D0;sgAAVS1;B
S6;R2+219;D0;sgAAVS1;C
S7;RA1;D0;sgAAVS1;A
S8;RA1;D0;sgAAVS1;B
S9;RA1;D0;sgAAVS1;C
S10;R2;D0;sgHUWE1;A
S11;R2;D0;sgHUWE1;B
S12;R2;D0;sgHUWE1;C
S13;R2+219;D0;sgHUWE1;A
S14;R2+219;D0;sgHUWE1;B
S15;R2+219;D0;sgHUWE1;C
S16;RA1;D0;sgHUWE1;A
S17;RA1;D0;sgHUWE1;B
S18;RA1;D0;sgHUWE1;C
S19;R2;D0;sgUBR4;A
S20;R2;D0;sgUBR4;B
S21;R2;D0;sgUBR4;C
S22;R2+219;D0;sgUBR4;A
S23;R2+219;D0;sgUBR4;B
S24;R2+219;D0;sgUBR4;C
S25;RA1;D0;sgUBR4;A
S26;RA1;D0;sgUBR4;B
S27;RA1;D0;sgUBR4;C
S28;R2;D0;sgUBR5;A
S29;R2;D0;sgUBR5;B
S30;R2;D0;sgUBR5;C
S31;R2+219;D0;sgUBR5;A
S32;R2+219;D0;sgUBR5;B
S33;RA1;D0;sgUBR5;A
S34;RA1;D0;sgUBR5;B
S35;RA1;D0;sgUBR5;C
S36;R2;D610;sgAAVS1;A
S37;R2;D610;sgAAVS1;B
S38;R2;D610;sgAAVS1;C
S39;R2+219;D610;sgAAVS1;A
S40;R2+219;D610;sgAAVS1;B
S41;R2+219;D610;sgAAVS1;C
S42;RA1;D610;sgAAVS1;A
S43;RA1;D610;sgAAVS1;B
S44;RA1;D610;sgAAVS1;C
S45;R2;D610;sgHUWE1;A
S46;R2;D610;sgHUWE1;B
S47;R2;D610;sgHUWE1;C
S48;R2+219;D610;sgHUWE1;A
S49;R2+219;D610;sgHUWE1;B
S50;R2+219;D610;sgHUWE1;C
S51;RA1;D610;sgHUWE1;A
S52;RA1;D610;sgHUWE1;B
S53;RA1;D610;sgHUWE1;C
S54;R2;D610;sgUBR4;A
S55;R2;D610;sgUBR4;B
S56;R2;D610;sgUBR4;C
S57;R2+219;D610;sgUBR4;A
S58;R2+219;D610;sgUBR4;B
S59;R2+219;D610;sgUBR4;C
S60;RA1;D610;sgUBR4;A
S61;RA1;D610;sgUBR4;B
S62;RA1;D610;sgUBR4;C
S63;R2;D610;sgUBR5;A
S64;R2;D610;sgUBR5;B
S65;R2;D610;sgUBR5;C
S66;R2+219;D610;sgUBR5;A
S67;R2+219;D610;sgUBR5;B
S68;R2+219;D610;sgUBR5;C
S69;RA1;D610;sgUBR5;A
S70;RA1;D610;sgUBR5;B
S71;RA1;D610;sgUBR5;C
